use,keyword,pref_label,synonyms,definition,class
y,peptide sequence,protein sequence,"('nucleotide binding fold', 'RGD (sequence)', 'protein sequencing', 'peptide sequence', 'aminoacid sequence of peptide', 'aminoacid sequence of protein', 'homology (molecular)')","('order of amino acids as they occur in a polypeptide chain.',)",http://purl.bioontology.org/ontology/CSP/2446-2100
,percent,Percent Unit,"('Unit of Percent', 'Percent Unit', '%', 'PERCENT', 'Percent', 'Percentage', 'percent')","('A unit for expressing a number as a fraction of hundred (on the basis of a rate or proportion per hundred).',)",Thesaurus:C48570
,percent,Percent Unit,"('Unit of Percent', 'Percent Unit', '%', 'PERCENT', 'Percent', 'Percentage', 'percent')","('A unit for expressing a number as a fraction of hundred (on the basis of a rate or proportion per hundred).',)",Thesaurus:C48570
y,percent,percent,"('%',)","('""A dimensionless ratio unit which denotes numbers as fractions of 100."" [Wikipedia:Wikipedia]',)",UO:0000187
,percent,percent,"('%',)","('A dimensionless ratio unit which denotes numbers as fractions of 100.',)",UO:0000187
,permutations,Permutation,"('Permutation', 'Arrangement number', 'Order')","('A set of elements are rearranged or reindexed in various and different orders. In the rearrangement process, none of the elements are lost, added, or changed.',)",Thesaurus:C64219
y,permutations,Permutation,"('Permutation', 'Arrangement number', 'Order')","('A set of elements are rearranged or reindexed in various and different orders. In the rearrangement process, none of the elements are lost, added, or changed.',)",Thesaurus:C64219
y,ph,pH,(),('A dimensionless concentration notation which denotes the acidity of a solution in terms of activity of hydrogen ions (H+)'),UO:0000196
,platform,Platform,(),"('A surface onto which instruments are deployed to collect data',)",http://hadatac.org/ont/vstoi#Platform
y,platform,Technology Platform Version,"('Technology Platform', 'Technology Platform Version', 'Platform Version', 'Platform', 'platform')","('The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment.',)",Thesaurus:C45378
,platform,Technology Platform Version,"('Technology Platform', 'Technology Platform Version', 'Platform Version', 'Platform', 'platform')","('The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment.',)",Thesaurus:C45378
,population,Population,"('School-Age Populations', 'Populations', 'School Age Population', 'Population, School-Age', 'Populations, School-Age', 'Populations, School Age', 'School-Age Population', 'School Age Populations', 'Population, School Age')","('The total number of individuals inhabiting a particular region or area.',)",MESH:D011153
,population,Population Group,"('Population Group', 'Subpopulation', 'Group', 'Population', 'population')","('A group of individuals united by a common factor (e.g., geographic location, ethnicity, disease, age, gender)',)",NCIT:C17005
y,population,Population Group,"('Population Group', 'Subpopulation', 'Group', 'Population', 'population')","('A group of individuals united by a common factor (e.g., geographic location, ethnicity, disease, age, gender)',)",Thesaurus:C17005
,population,Population Group,"('Population Group', 'Subpopulation', 'Group', 'Population', 'population')","('A group of individuals united by a common factor (e.g., geographic location, ethnicity, disease, age, gender)',)",Thesaurus:C17005
,population,Population Group,"('populations', 'Subpopulation', 'population', 'Group')","('Individuals classified according to their sex, racial origin, religion, common place of living, financial or social status, or some other cultural or behavioral attribute. (UMLS, 2003) (source : MSH)',)",http://doe-generated-ontology.com/OntoAD#C1257890
,population,population,(),"(""[Henderson's] n. a group of individuals of the same species living in a certain deﬁned area."",)",http://vocabs.lter-europe.net/EnvThes/USLterCV:439
,population,population,(),"('a population is a collection of individuals from the same taxonomic class living, counted or sampled at a particular site or in a particular area',)",OBI:0000181
,population,statistical population,"('population (statistics)', 'population')","('In statistics, a population is a set of similar items or events which is of interest for some question or experiment. A statistical population can be a group of existing objects or a hypothetical and potentially infinite group of objects conceived as a generalization from experience. [Wikipedia]',)",http://purl.allotrope.org/ontologies/result#AFR:0001209
y,position,Position,"('Position',)","('A reference to the alignment of an object, a particular situation or view of a situation, or the location of an object.',)",Thesaurus:C104788
,position,Position,"('Position',)","('A reference to the alignment of an object, a particular situation or view of a situation, or the location of an object.',)",Thesaurus:C104788
,position,position,"('relational spatial quality', 'location', 'placement')","(""A spatial quality inhering in a bearer by virtue of the bearer's spatial location relative to other objects in the vicinity."",)",PATO:0000140
,position,position,(),"(""A spatial quality inhering in a bearer by virtue of the bearer's spatial location relative to other objects in the vicinity."",)",PATO:0000140
,position,position,(),"('The position is the location of a physical entity. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0001216
,positive,Positive,"('Positive',)","('Involving advantage or good.',)",NCIT:C25246
,positive,Positive,"('Positive',)","('Involving advantage or good.',)",Thesaurus:C25246
,positive,Positive,"('Positive',)","('Involving advantage or good.',)",Thesaurus:C25246
,positive,positive charge,"('positive',)","('Positive charge is a quality which inheres in a molecular entity by virtue of the molecular entity possessing more protons overall than electrons, thus having an overall positive charge. [PATO]',)",PATO:0002195
,positive predictive value,Positive Predictive Value of Diagnostic Test,"('PPV', 'positive predictive value')","('The likelihood that an individual with a positive test result truly has the particular gene and/or disease in question. (source : NCI)',)",http://doe-generated-ontology.com/OntoAD#C1514243
,positive predictive value,Positive Predictive Value of Diagnostic Test,"('positive predictive value', 'Positive Predictive Value of Diagnostic Test', 'PPV')","('The probability that an individual is affected with the condition when a positive test result is observed. Predictive values should only be calculated from cohort studies or studies that legitimately reflect the number of people in the population who have the condition of interest at that time since predictive values are inherently dependent upon the prevalence. PPVDT can be determined by calculating: number of true positive results divided by the sum of true positive results plus number of false positive results.',)",NCIT:C41389
y,positive predictive value,Positive Predictive Value of Diagnostic Test,"('positive predictive value', 'Positive Predictive Value of Diagnostic Test', 'PPV')","('The probability that an individual is affected with the condition when a positive test result is observed. Predictive values should only be calculated from cohort studies or studies that legitimately reflect the number of people in the population who have the condition of interest at that time since predictive values are inherently dependent upon the prevalence. PPVDT can be determined by calculating: number of true positive results divided by the sum of true positive results plus number of false positive results.',)",Thesaurus:C41389
,positive predictive value,Positive Predictive Value of Diagnostic Test,"('positive predictive value', 'Positive Predictive Value of Diagnostic Test', 'PPV')","('The probability that an individual is affected with the condition when a positive test result is observed. Predictive values should only be calculated from cohort studies or studies that legitimately reflect the number of people in the population who have the condition of interest at that time since predictive values are inherently dependent upon the prevalence. PPVDT can be determined by calculating: number of true positive results divided by the sum of true positive results plus number of false positive results.',)",Thesaurus:C41389
,positive predictive value,Predictive Value of Tests,"('Negative Predictive Values', 'Positive Predictive Values', 'Predictive Value, Negative', 'Negative Predictive Value', 'Positive Predictive Value', 'Predictive Value Of Test', 'Predictive Values Of Tests', 'Predictive Value, Positive')","('In screening and diagnostic tests, the probability that a person with a positive test is a true positive (i.e., has the disease), is referred to as the predictive value of a positive test; whereas, the predictive value of a negative test is the probability that the person with a negative test does not have the disease. Predictive value is related to the sensitivity and specificity of the test.',)",MESH:D011237
y                                              ,positive samples,Positive Biospecimen,"('Positive Sample', 'Positive Biospecimen')","('A grouping category for samples that tested positive.',)",Thesaurus:C179022
,positive samples,Positive Biospecimen,"('Positive Sample', 'Positive Biospecimen')","('A grouping category for samples that tested positive.',)",Thesaurus:C179022
,positives,Positive,"('Positive',)","('Involving advantage or good.',)",NCIT:C25246
,positives,Positive,"('Positive',)","('Involving advantage or good.',)",Thesaurus:C25246
,positives,Positive,"('Positive',)","('Involving advantage or good.',)",Thesaurus:C25246
,positives,positive charge,"('positive',)","('Positive charge is a quality which inheres in a molecular entity by virtue of the molecular entity possessing more protons overall than electrons, thus having an overall positive charge. [PATO]',)",PATO:0002195
,power,"Power, Psychological","('Psychological Power', 'Professional Power', 'Personal Power', 'Power', 'Social Power', 'Psychological Powers', 'Power, Personal', 'Powers, Psychological', 'Power, Social', 'Power, Professional', 'Power (Psychology)')","('The exertion of a strong influence or control over others in a variety of settings--administrative, social, academic, etc.',)",MESH:D011209
y,power,power,"('power (datum)',)","('Power is a quality quantification facet that quantifies the rate of doing work. [PATO]',)",http://purl.allotrope.org/ontologies/result#AFR:0001917
,power,power,(),"(""A physical quality inhering in a bearer by virtue of the bearer's rate of doing work."",)",PATO:0001024
y,power unit,power unit,(),"('""A unit which is a standard measure power or the rate of doing work."" [NIST:NIST]',)",UO:0000113
,pre,Prior,"('BEFORE', 'Before', 'Leading', 'Pre', 'Preceding', 'Prior')","('Earlier in time or order.',)",NCIT:C25629
y                                              ,pre,Prior,"('BEFORE', 'Before', 'Leading', 'Pre', 'Preceding', 'Prior')","('Earlier in time or order.',)",Thesaurus:C25629
,pre,Prior,"('BEFORE', 'Before', 'Leading', 'Pre', 'Preceding', 'Prior')","('Earlier in time or order.',)",Thesaurus:C25629
,pre,deoxyribodipyrimidine photo-lyase activity,"('DNA-photoreactivating enzyme', 'PRE', 'photoreactivating enzyme activity', 'deoxyribonucleic photolyase activity', 'deoxyribonucleic cyclobutane dipyrimidine photolyase activity', 'photolyase activity', 'dipyrimidine photolyase (photosensitive)', 'PhrB photolyase activity', 'phr A photolyase activity', 'deoxyribonucleate pyrimidine dimer lyase (photosensitive)', 'DNA cyclobutane dipyrimidine photolyase activity', 'deoxyribodipyrimidine photolyase activity', 'deoxyribocyclobutadipyrimidine pyrimidine-lyase activity', 'CPD photolyase activity')","('Catalysis of the reaction: cyclobutadipyrimidine (in DNA) = 2 pyrimidine residues (in DNA). This reaction represents the reactivation of irradiated DNA by light.',)",GO:0003904
,pre,deoxyribodipyrimidine photo-lyase activity,"('deoxyribonucleate pyrimidine dimer lyase (photosensitive)', 'photolyase activity', 'PhrB photolyase activity', 'deoxyribocyclobutadipyrimidine pyrimidine-lyase activity', 'phr A photolyase activity', 'deoxyribonucleic photolyase activity', 'DNA-photoreactivating enzyme', 'DNA cyclobutane dipyrimidine photolyase activity', 'photoreactivating enzyme activity', 'dipyrimidine photolyase (photosensitive)', 'deoxyribonucleic cyclobutane dipyrimidine photolyase activity', 'PRE', 'CPD photolyase activity', 'deoxyribodipyrimidine photolyase activity')","('Catalysis of the reaction: cyclobutadipyrimidine (in DNA) = 2 pyrimidine residues (in DNA). This reaction represents the reactivation of irradiated DNA by light.',)",GO:0003904
,pre,deoxyribodipyrimidine photo-lyase activity,"('deoxyribonucleic photolyase activity', 'deoxyribonucleic cyclobutane dipyrimidine photolyase activity', 'photolyase activity', 'dipyrimidine photolyase (photosensitive)', 'PhrB photolyase activity', 'phr A photolyase activity', 'deoxyribonucleate pyrimidine dimer lyase (photosensitive)', 'DNA-photoreactivating enzyme', 'PRE', 'DNA cyclobutane dipyrimidine photolyase activity', 'deoxyribocyclobutadipyrimidine pyrimidine-lyase activity', 'photoreactivating enzyme activity', 'deoxyribodipyrimidine photolyase activity', 'CPD photolyase activity')","('Catalysis of the reaction: cyclobutadipyrimidine (in DNA) = 2 pyrimidine residues (in DNA). This reaction represents the reactivation of irradiated DNA by light.',)",GO:0003904
,pre,nuclear pore complex protein NUP96 (Arabidopsis thaliana),"('At1g80680', 'MOS3', 'AtNUP96', 'F23A5.3', 'PRE', 'NUP96', 'SAR3', 'At-NUP98', 'nucleoporin PRECOZ (Arabidopsis thaliana)', 'nucleoporin 96 (Arabidopsis thaliana)', 'nucleoporin PRECOCIOUS (Arabidopsis thaliana)', 'protein SUPPRESSOR OF AUXIN RESISTANCE 3 (Arabidopsis thaliana)', 'protein MODIFIER OF SNC1 3 (Arabidopsis thaliana)')","('A nuclear pore complex protein Nup98-Nup96 that is encoded in the genome of Arabidopsis thaliana.', 'Category=organism-gene.')",PR:Q8LLD0
,pre,pigmented layer of retina,"('retinal pigment layer', 'epithelium, retinal pigment', 'pigmented epithelium', 'p. pigmentosa retinae', 'pigmented retina', 'stratum pigmentosa retinae', 'PRE', 'RPE', 'outer pigmented layer of retina', 'stratum pigmentosum retinae', 'retinal pigmented epithelium', 'pigmented retina epithelium', 'retinal pigment epithelium', 'pigment epithelium of retina', 'pigmented retinal epithelium', 'stratum pigmentosum (retina)')","('A monolayer of pigmented epithelium covering the neural retina; develops from the outer of the two layers of the optic cup[ZFA]. the pigmented cell layer just outside the neurosensory retina that nourishes retinal visual cells, and is firmly attached to the underlying choroid and overlying retinal visual cells[WP].',)",UBERON:0001782
y,predictive value,Predictive Value,"('Predictive Value',)","('An expression of the likelihood that a given test result correlates with the presence or absence of disease.',)",Thesaurus:C16238
y                                             ,predictive value,Predictive Value,"('Predictive Value',)","('An expression of the likelihood that a given test result correlates with the presence or absence of disease.',)",Thesaurus:C16238
y                                             ,pretreatment,Pretreatment,"('Pretreatment',)","('Any relevant actions that were performed or occurred prior to a specific treatment.',)",Thesaurus:C103339
,pretreatment,Pretreatment,"('Pretreatment',)","('Any relevant actions that were performed or occurred prior to a specific treatment.',)",Thesaurus:C103339
y,price,Commerce,"('Sector, Commercial', 'Vendors', 'Business', 'Prices', 'Vendor', 'Price', 'Businesses', 'Sale', 'Sectors, Commercial', 'Commercial Sectors', 'Commerces', 'Commercial Sector', 'Sales')","('The interchange of goods or commodities, especially on a large scale, between different countries or between populations within the same country. It includes trade (the buying, selling, or exchanging of commodities, whether wholesale or retail) and business (the purchase and sale of goods to make a profit). (From Random House Unabridged Dictionary, 2d ed, p411, p2005 & p283)',)",MESH:D003132
,primer,Oligonucleotide Primer,"('Oligonucleotide Primer', 'Primer')","('Short DNA oligonucleotide chains used to prime DNA (and in some cases RNA) synthesis.',)",Thesaurus:C1451
,primer,Oligonucleotide Primer,"('Oligonucleotide Primer', 'Primer')","('Short DNA oligonucleotide chains used to prime DNA (and in some cases RNA) synthesis.',)",Thesaurus:C1451
y,primer,primer,"('primer polynucleotide', 'primer sequence', 'DNA primer', 'primer oligonucleotide')","('An oligo to which new deoxyribonucleotides can be added by DNA polymerase.',)",SO:0000112
y,primer sequence,primer,"('primer polynucleotide', 'primer sequence', 'DNA primer', 'primer oligonucleotide')","('An oligo to which new deoxyribonucleotides can be added by DNA polymerase.',)",SO:0000112
,probe,Probe,"('Probe',)","('General term for a piece of DNA or RNA corresponding to a gene or sequence of interest, that has been labelled either radioactively or with some other detectable molecule, such as biotin, digoxygenin or fluorescein. As stretches of DNA or RNA with complementary sequences will hybridize, a probe will label viral plaques, bacterial colonies or bands on a gel that contain the gene of interest.',)",Thesaurus:C43523
,probe,Probe,"('Probe',)","('General term for a piece of DNA or RNA corresponding to a gene or sequence of interest, that has been labelled either radioactively or with some other detectable molecule, such as biotin, digoxygenin or fluorescein. As stretches of DNA or RNA with complementary sequences will hybridize, a probe will label viral plaques, bacterial colonies or bands on a gel that contain the gene of interest.',)",Thesaurus:C43523
,probe,probe,"('20395345', 'probes')","('A role played by a molecular entity used to study the microscopic environment.\n\nsource: http://purl.obolibrary.org/obo/CHEBI_50406',)",CHEBI:50406
y,probe,probe,(),"('A DNA sequence used experimentally to detect the presence or absence of a complementary nucleic acid.',)",SO:0000051
,probe,probe,(),"('A probe is a device designed to reach into a location for remote manipulating or sensing. [NCI]',)",http://purl.allotrope.org/ontologies/equipment#AFE:0002248
,probe,probe,(),"('A role played by a molecular entity used to study the microscopic environment.',)",CHEBI:50406
y,probe id,probe identifier,"('probe id',)","('A probe identifier is a measurement device identifier that identifies some probe. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0002300
,protein,Protein,"('Protein (NOS)', 'Protein', 'Proteins', 'protein')","('A group of complex organic macromolecules composed of one or more chains (linear polymers) of alpha-L-amino acids linked by peptide bonds and ranging in size from a few thousand to over 1 million Daltons. Proteins are fundamental genetically encoded components of living cells with specific structures and functions dictated by amino acid sequence.',)",NCIT:C17021
y,protein,Protein,"('Protein (NOS)', 'Protein', 'Proteins', 'protein')","('A group of complex organic macromolecules composed of one or more chains (linear polymers) of alpha-L-amino acids linked by peptide bonds and ranging in size from a few thousand to over 1 million Daltons. Proteins are fundamental genetically encoded components of living cells with specific structures and functions dictated by amino acid sequence.',)",Thesaurus:C17021
,protein,Protein,"('Protein (NOS)', 'Protein', 'Proteins', 'protein')","('A group of complex organic macromolecules composed of one or more chains (linear polymers) of alpha-L-amino acids linked by peptide bonds and ranging in size from a few thousand to over 1 million Daltons. Proteins are fundamental genetically encoded components of living cells with specific structures and functions dictated by amino acid sequence.',)",Thesaurus:C17021
,protein,Protein,(),"('A group of complex organic macromolecules composed of one or more chains (linear polymers) of alpha-L-amino acids linked by peptide bonds and ranging in size from a few thousand to over 1 million Daltons. Proteins are fundamental genetically encoded components of living cells with specific structures and functions dictated by amino acid sequence.',)",NCIT:C17021
,protein,Protein,(),"('Biomoelcules responsible for performing variety of functions in an organism.',)",https://w3id.org/reproduceme#Protein
,protein,Protein,(),"('This class hes been retired.',)",http://uri.neuinfo.org/nif/nifstd/birnlex:23
,protein,Proteins,"('Gene Products, Protein', 'Protein', 'Protein Gene Products', 'Proteins, Gene', 'Gene Proteins')","('Linear POLYPEPTIDES that are synthesized on RIBOSOMES and may be further modified, crosslinked, cleaved, or assembled into complex proteins with several subunits. The specific sequence of AMINO ACIDS determines the shape the polypeptide will take, during PROTEIN FOLDING, and the function of the protein.',)",MESH:D011506
,protein,obsolete protein,"('protein',)","('OBSOLETE. (Was not defined before being made obsolete).', 'Note that this term was deleted from GO and was restored to the ontology in Feb 2003 to ensure that the ID is not reused.')",GO:0003675
,protein,protein,"('porphyroprotein', 'gene product', 'polypeptide')","('linear polymers of alpha-L-aminoacids ranging in size from a few thousand to over 1 million daltons, capable of oligomerization, with specific functions dictated by aminoacid sequence and encoded genetically.',)",http://purl.bioontology.org/ontology/CSP/2446-3000
,protein,protein,(),"('A compound composed of one or more chains of amino acids in a specific order determined by the base sequence of nucleotides in the DNA of a gene.',)",MS:1000882
,protein,protein,(),"('Alphabet for a protein sequence with possible ambiguity, unknown positions and non-sequence characters.', 'Non-sequence characters may be used for gaps and translation stop.')",http://edamontology.org/format:1208
,protein,protein,(),"('Non-sequence characters may be used for gaps and translation stop.', 'Alphabet for a protein sequence with possible ambiguity, unknown positions and non-sequence characters.')",http://edamontology.org/format:1208
,protein,protein,(),"('Non-sequence characters may be used for gaps and translation stop.',)",http://edamontology.org/format:1208
,protein,protein,(),"('OBSOLETE (was not defined before being made obsolete).', 'Note that this term was deleted from GO and was restored to the ontology in Feb 2003 to ensure that the ID is not reused.')",GO:0003675
y,protein name,Protein name,(),"('Name of a protein.',)",http://edamontology.org/data:1009
,protein name,protein name,(),"('A long name describing the function of the protein.',)",MS:1000886
,protein region,Protein Domain,"('Protein Feature', 'Protein Motif', 'Protein Domain', 'Protein Region', 'Domain', 'Feature', 'Motif', 'Region', 'Signature', 'domain')","('A structurally or functionally defined protein region.',)",NCIT:C13379
y,protein region,Protein Domain,"('Protein Feature', 'Protein Motif', 'Protein Domain', 'Protein Region', 'Domain', 'Feature', 'Motif', 'Region', 'Signature', 'domain')","('A structurally or functionally defined protein region.',)",Thesaurus:C13379
,protein region,Protein Domain,"('Protein Feature', 'Protein Motif', 'Protein Domain', 'Protein Region', 'Domain', 'Feature', 'Motif', 'Region', 'Signature', 'domain')","('A structurally or functionally defined protein region.',)",Thesaurus:C13379
y,protein sequence,Amino Acid Sequence,"('Primary Protein Structure', 'Amino Acid Sequence', 'amino acid sequence', 'Protein Sequence', 'AMINO ACID SEQUENCE')","('The sequence of amino acids along a polypeptide chain.',)",Thesaurus:C13187
,protein sequence,Amino Acid Sequence,"('Primary Protein Structure', 'Amino Acid Sequence', 'amino acid sequence', 'Protein Sequence', 'AMINO ACID SEQUENCE')","('The sequence of amino acids along a polypeptide chain.',)",Thesaurus:C13187
,protein sequence,Protein sequence,"('Amino acid sequence', 'Protein sequences', 'Amino acid sequences')","('One or more protein sequences, possibly with associated annotation.',)",http://edamontology.org/data:2976
,protein sequence,protein sequence,"('nucleotide binding fold', 'RGD (sequence)', 'protein sequencing', 'peptide sequence', 'aminoacid sequence of peptide', 'aminoacid sequence of protein', 'homology (molecular)')","('order of amino acids as they occur in a polypeptide chain.',)",http://purl.bioontology.org/ontology/CSP/2446-2100
,protocol,Protocol,"('Experiment annotation', 'Experiment report', 'Experiment metadata')","('A human-readable collection of information about about how a scientific experiment or analysis was carried out that results in a specific set of data or results used for further analysis or to test a specific hypothesis.',)",http://edamontology.org/data:2531
y,protocol,Protocol,"('Experiment report', 'Experiment metadata', 'Experiment annotation')","('A human-readable collection of information about about how a scientific experiment or analysis was carried out that results in a specific set of data or results used for further analysis or to test a specific hypothesis.',)",http://edamontology.org/data:2531
,protocol,Protocol,"('Protocol',)","('A rule which guides how an activity should be performed.',)",Thesaurus:C42651
,protocol,Protocol,"('Protocol',)","('A rule which guides how an activity should be performed.',)",Thesaurus:C42651
,protocol,Protocol,(),"('A set of instructions needed to perform an activity.',)",https://w3id.org/reproduceme#Protocol
,protocol,method development,"('U44 grant', 'N43 grant', 'N44 grant', 'R43 grant', 'U43 grant', 'protocol', 'R42 grant', 'R44 grant', 'STTR grant', 'SBIR grant', 'R41 grant')","('development of protocols, procedures, or processes for conducting biomedical research; most often applies to analytical methodology.',)",http://purl.bioontology.org/ontology/CSP/4001-0081
,protocol,procedure specification,"('flow specification', 'workflow specification', 'protocol')","('A specification on the order, transitions and trigger of multiple action specifications that are part of some aggregate action specification. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0000938
,protocol,protocol,(),"('A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process.',)",OBI:0000272
y                                             ,provider,Provider,"('Provider',)","('One that makes something available.',)",Thesaurus:C37900
,provider,Provider,"('Provider',)","('One that makes something available.',)",Thesaurus:C37900
,purification,Purification,"('Purification', 'Purified', 'Purify')","('The process of removing impurities.',)",Thesaurus:C68780
,purification,Purification,"('Purification', 'Purified', 'Purify')","('The process of removing impurities.',)",Thesaurus:C68780
,purification,isolation & purification,"('isolation', 'purification', 'isolation and purification')","('Used with bacteria, viruses, fungi, protozoa, and helminths for the obtaining of pure strains or for the demonstration of the presence of or identification of organisms by DNA analyses, immunologic, or other methods, including culture techniques. It is used also with biological substances and chemicals for the isolation and purification of the constituents.',)",MESH:Q000302
y,purification,purification,(),"('A purification is a removing process that is used to physically separate an analyte from byproducts, reagents or contaminating substances. [Allotrope, CHMO]',)",http://purl.allotrope.org/ontologies/process#AFP:0000812
,purification,purification,(),"('Any technique used to physically separate an analyte from byproducts, reagents or contaminating substances.',)",CHMO:0002231
y                                             ,purity,Purity,"('Purity',)","('A quantitative assessment of the homogeneity or uniformity of a mixture. Alternatively, purity refers to the degree of being free of contaminants or heterogeneous components.',)",Thesaurus:C62352
,purity,Purity,"('Purity',)","('A quantitative assessment of the homogeneity or uniformity of a mixture. Alternatively, purity refers to the degree of being free of contaminants or heterogeneous components.',)",Thesaurus:C62352
,purity,Purity,(),"('The purity of a substance.',)",https://w3id.org/reproduceme#Purity
,purity,purity,"('purity result', 'purity (datum)')","('A purity (datum) is a quality quantification facet that quantifies the purity of a portion of material. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0002371
,quality,Quality,"('QUALITY', 'Quality')","('An essential and distinguishing attribute of something or someone; a degree or grade of excellence or worth.',)",NCIT:C25283
y                                             ,quality,Quality,"('QUALITY', 'Quality')","('An essential and distinguishing attribute of something or someone; a degree or grade of excellence or worth.',)",Thesaurus:C25283
,quality,Quality,"('QUALITY', 'Quality')","('An essential and distinguishing attribute of something or someone; a degree or grade of excellence or worth.',)",Thesaurus:C25283
,quality,quality,(),"('A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities.', 'A quality is a specifically dependent continuant that, in contrast to roles and dispositions, does not require any further process in order to be realized.', 'A quality is an attribute that is intrinsically associated with its bearer (or its parts), but whose presence/absence and observed/measured value may vary.', 'The etymology of ""quality"" is fairly well elucidated coming from Middle English, from Old French qualité, from Latin qualitatem, accusative of qualitas, from qualis (“of what kind”), from Proto-Indo-European *kʷo- (“who, how”). Cicero coined qualitas as a calque to translate the Ancient Greek word ποιότης (poiótēs, “quality”), coined by Plato from ποῖος (poîos, “of what nature, of what kind”).')",BFO:0000019
,quality,quality,(),"('A quality is a specifically dependent continuant that, in contrast to roles and dispositions, does not require any further process in order to be realized. [BFO]',)",BFO:0000019
y,quantitation,Quantitation,"('Quantification', 'Quantitation', 'QUANTIFICATION', 'Quantify')","('The act of measuring or estimating a quantity.',)",Thesaurus:C48937
,quantitation,Quantitation,"('Quantification', 'Quantitation', 'QUANTIFICATION', 'Quantify')","('The act of measuring or estimating a quantity.',)",Thesaurus:C48937
,quantitation,quantification,"('quantitation',)","('In mathematics and empirical science, quantification (or quantitation) is the act of counting and measuring that maps human sense observations and experiences into members of some set of numbers. [Wikipedia]',)",http://purl.allotrope.org/ontologies/process#AFP:0002849
,ramp,Architectural Accessibility,"('Accessibility, Architectural', 'Physical Barrier', 'Facility Accesses', 'Barrier, Architectural', 'Accesses, Facility', 'Architectural Barriers', 'Physical Barriers', 'Facility Access', 'Architectural Barrier', 'Ramp', 'Barrier, Physical', 'Barriers, Physical', 'Ramps', 'Barriers, Architectural', 'Access, Facility')","('Limitations, challenges, and impediments to healthcare practice and patient recovery.', 'Designs for approaching areas inside or outside facilities.')",MESH:D001107
,ramp,ZMYM2 wt Allele,"('Zinc Finger, MYM-Type 2 wt Allele', 'Zinc Finger Protein 198 Gene', 'RP11-264J4.7', 'Zinc Finger MYM-Type Containing 2 wt Allele', 'Rearranged in an Atypical Myeloproliferative Disorder Gene', 'ZMYM2 wt Allele', 'FIM', 'MYM', 'NECRC', 'RAMP', 'SCLL', 'ZNF198')","('Human ZMYM2 wild-type allele is located within 13q11-q12 and is approximately 133 kb in length. This allele, which encodes zinc finger MYM-type protein 2, is involved in the regulation of transcription. A chromosomal translocation t(8;13)(p11;q12) of the gene and the FGFR1 gene is associated with stem cell leukemia lymphoma syndrome.',)",Thesaurus:C97874
,ramp,ZMYM2 wt Allele,"('Zinc Finger, MYM-Type 2 wt Allele', 'Zinc Finger Protein 198 Gene', 'RP11-264J4.7', 'Zinc Finger MYM-Type Containing 2 wt Allele', 'Rearranged in an Atypical Myeloproliferative Disorder Gene', 'ZMYM2 wt Allele', 'FIM', 'MYM', 'NECRC', 'RAMP', 'SCLL', 'ZNF198')","('Human ZMYM2 wild-type allele is located within 13q11-q12 and is approximately 133 kb in length. This allele, which encodes zinc finger MYM-type protein 2, is involved in the regulation of transcription. A chromosomal translocation t(8;13)(p11;q12) of the gene and the FGFR1 gene is associated with stem cell leukemia lymphoma syndrome.',)",Thesaurus:C97874
,ramp,zinc finger MYM-type protein 2,"('Zfp198', 'RAMP', 'FIM', 'ZNF198', 'rearranged in atypical myeloproliferative disorder protein', 'ZMYM2', 'fused in myeloproliferative disorders protein', 'zinc finger protein 198')","('A protein that is a translation product of the ZMYM2 gene or a 1:1 ortholog thereof.', 'Category=gene. Flag=automatic.')",PR:000017687
,range,Range,"('Range',)","('The difference between the lowest and highest numerical values; the limits or scale of variation.',)",NCIT:C38013
y                                             ,range,Range,"('Range',)","('The difference between the lowest and highest numerical values; the limits or scale of variation.',)",Thesaurus:C38013
,range,Range,"('Range',)","('The difference between the lowest and highest numerical values; the limits or scale of variation.',)",Thesaurus:C38013
,range,cultivated environment,"('cropland', 'truck garden', 'agricultural region', 'cultivated area', 'cultivated cropland', 'market garden', 'CROPLAND', 'range', 'truck farm')","('A cultivated environment is an environment that has been modified by humans by the preparation of the land, usually for the purposes of growing crops.',)",ENVO:01000311
,range,obsolete cultivated habitat,"('cropland', 'truck garden', 'agricultural region', 'cultivated area', 'cultivated cropland', 'market garden', 'CROPLAND', 'range', 'truck farm')","('A geographical feature modified by humans by the preparation of the land, usually for the purposes of growing crops.',)",ENVO:00000113
,range,range,(),"('A range is an interval of values with a lower and/or upper limit. [Allotrope]',)",http://purl.allotrope.org/ontologies/common#AFC:0000021
,range,range,(),"('the range is a measure of variation which describes the difference between the lowest score and the highest score in a set of numbers (a data set)',)",STATO:0000035
,rate,Rate,"('Rate',)","('A measurement of degree, speed, or frequency relative to time.',)",NCIT:C25636
,rate,Rate,"('Rate',)","('A measurement of degree, speed, or frequency relative to time.',)",Thesaurus:C25636
